address,price
"Rua do Símbolo 91
Morumbi, São Paulo",R$ 1.500.000
"Rua Campelo 425
Vila Nova Mazzei, São Paulo",R$ 480.000
"Rua Pelotas, 100
Vila Mariana, São Paulo",R$ 1.399.890
"Rua Antonio Gomes Ferreira, 86 - Sacomã
Parque Fongaro, São Paulo",R$ 207.000
"Santo Amaro, São Paulo",R$ 4.500.000
"Dos Três Irmãos, 149
Morumbi, São Paulo",R$ 1.200.000
"Itaim Bibi, São Paulo",R$ 3.750.000
"Rua Maria de Castro Mesquita 84
Centro, São Paulo",R$ 725.000
"R Pamplona
Jardim Paulista, São Paulo",R$ 5.000.000
"AV Ipiranga, 337
República, São Paulo",R$ 300.000
"Avenida MARQUES DE SAO VICENTE
Barra Funda, São Paulo",R$ 21.000.000
"RUA DO MANIFESTO 198
Ipiranga, São Paulo",R$ 450.000
"Rua Professor Nelson de Senna 287
Cupecê, São Paulo",R$ 2.380.000
"Rua do Bosque 1589
Barra Funda, São Paulo",R$ 750.000
"R Das Orquídeas
Mirandópolis, São Paulo",R$ 790.000
"avenida do rio pequeno salas comerciais
Rio Pequeno, São Paulo",R$ 1.100.000
"AV Casa Verde, 2268
Casa Verde, São Paulo",R$ 1.950.000
"Vila Butantã, São Paulo",R$ 300.000
"Rua MOTA PAIS
Alto da Lapa, São Paulo",R$ 3.000.000
"darcy reis 305
Parque dos Príncipes, São Paulo",R$ 2.200.000
"Vila Mariana, São Paulo",R$ 4.000.000
"R João de Laet, 1280
Vila Aurora (Zona Norte), São Paulo",R$ 750.000
"Avenida Diogenes Ribeiro de Lima 2170
Alto de Pinheiros, São Paulo",R$ 38.570
"Avenida MARQUES DE SAO VICENTE
Barra Funda, São Paulo",R$ 21.000.000
"Rua Carlos da Silva Lacaz 17
Horto Florestal, São Paulo",R$ 1.750.000
"Jardim Catarina, São Paulo",R$ 464.404
"RUA DO MANIFESTO 198
Ipiranga, São Paulo",R$ 450.000
"Avenida Celso Garcia 4243
Tatuapé, São Paulo",R$ 750.000
"AVENIDA ENGENHEIRO ADOLFO GRAZIANI
Rio Pequeno, São Paulo",R$ 800.000
"Rua José Dória de Andrade, 499
Cidade Líder, São Paulo",R$ 2.200.000
"R Mercedes Lopes
Vila Santana, São Paulo",R$ 930.000
"R Afrodísio de Mattos, 123
Butantã, São Paulo",R$ 490.000
