street,district,price,date
Rua Edmon Mário Hage,Moema, 1.400.000,2023-03-28
R Tucuna,Perdizes, 1.100.000,2023-03-28
Rua Francisco Duarte Graça,Jabaquara, 1.000.000,2023-03-28
Rua Francisco Duarte Graça,Jabaquara,[],2023-03-28
Rua Padre Estevão Pernet,Vila Gomes Cardim, 650.000,2023-03-28
Carmo do Rio Verde,Chácara Santo Antônio, 867.024,2023-03-28
Carmo do Rio Verde,Chácara Santo Antônio, 2.660.000,2023-03-28
Carmo do Rio Verde,Chácara Santo Antônio,[],2023-03-28
Avenida Pires do Rio,Jardim Norma, 260.000,2023-03-28
Avenida Pires do Rio,Jardim Norma, 540.104,2023-03-28
AL Joaquim Eugênio de Lima,Jardim Paulista, 2.400.000,2023-03-28
AL Joaquim Eugênio de Lima,Jardim Paulista,[],2023-03-28
Avenida MARQUES DE SAO VICENTE,Barra Funda, 21.000.000,2023-03-28
Avenida MARQUES DE SAO VICENTE,Barra Funda, 4.100.000,2023-03-28
R Dos Cafezais,Jardim Prudência, 860.000,2023-03-28
R Dos Cafezais,Jardim Prudência,[],2023-03-28
Rua Adherbal Stresser,Parque Ipê, 10.036.800.000,2023-03-28
Avenida dos Remédios,Vila dos Remédios, 2.750.000,2023-03-28
Avenida dos Remédios,Vila dos Remédios, 583.000,2023-03-28
Avenida dos Remédios,Vila dos Remédios,[],2023-03-28
Rua Edmon Mário Hage 55,Moema, 1.400.000,2023-03-28
R Tucuna,Perdizes, 1.100.000,2023-03-28
Rua Francisco Duarte Graça 500,Jabaquara, 1.000.000,2023-03-28
Rua Francisco Duarte Graça 500,Jabaquara,[],2023-03-28
Rua Padre Estevão Pernet,Vila Gomes Cardim, 650.000,2023-03-28
Carmo do Rio Verde 109,Chácara Santo Antônio, 867.024,2023-03-28
Carmo do Rio Verde 109,Chácara Santo Antônio, 2.660.000,2023-03-28
Carmo do Rio Verde 109,Chácara Santo Antônio,[],2023-03-28
Avenida Pires do Rio 3679,Jardim Norma, 260.000,2023-03-28
Avenida Pires do Rio 3679,Jardim Norma, 540.104,2023-03-28
AL Joaquim Eugênio de Lima,Jardim Paulista, 2.400.000,2023-03-28
AL Joaquim Eugênio de Lima,Jardim Paulista,[],2023-03-28
Avenida MARQUES DE SAO VICENTE,Barra Funda, 21.000.000,2023-03-28
Avenida MARQUES DE SAO VICENTE,Barra Funda, 4.100.000,2023-03-28
R Dos Cafezais,Jardim Prudência, 860.000,2023-03-28
R Dos Cafezais,Jardim Prudência,[],2023-03-28
Rua Adherbal Stresser,Parque Ipê, 10.036.800.000,2023-03-28
Avenida dos Remédios 1674,Vila dos Remédios, 2.750.000,2023-03-28
Avenida dos Remédios 1674,Vila dos Remédios, 583.000,2023-03-28
Avenida dos Remédios 1674,Vila dos Remédios,[],2023-03-28
