street,district,price,date
Avenida Nove de Julho,Jardim Paulista, 5.748.258,2023-03-28
Avenida Nove de Julho,Jardim Paulista, 5.809.795,2023-03-28
Avenida Nove de Julho,Jardim Paulista, 6.037.583,2023-03-28
Pinheiros,São Paulo, 2.700.000,2023-03-28
Rua Caconde,Jardim Paulista, 1.350.000,2023-03-28
Rua Alves Guimarães,Pinheiros, 889.000,2023-03-28
Rua Simão Lopes,Vila Moraes, 480.000,2023-03-28
Rua Doutor João Batista Soares de Faria,Santana, 1.400.000,2023-03-28
Rua Antonieta Leitão,Nossa Senhora do Ö, 510.000,2023-03-28
Rua Doutor Jaci Barbosa,Vila Carrão, 330.000,2023-03-28
Vila Formosa,São Paulo, 955.000,2023-03-28
Jardim Santa Maria,São Paulo, 450.000,2023-03-28
Avenida Vila Ema,Vila Ema, 690.000,2023-03-28
Rua Ernesto de Castro,Brás, 495.000,2023-03-28
Jardim Santa Terezinha,São Paulo, 220.000,2023-03-28
Rua José Líbero,Planalto Paulista, 515.192,2023-03-28
Rua Sananduva,Jardim Maringa, 600.000,2023-03-28
Avenida dos Ourives,Jardim São Savério, 259.900,2023-03-28
Jardim Sao Paulo Zona Leste,São Paulo, 445.000,2023-03-28
Avenida Alda,Eldorado, 399.000,2023-03-28
Avenida Líder,Cidade Líder, 275.001,2023-03-28
Jardim Santa Terezinha,São Paulo, 202.000,2023-03-28
Vila Guilhermina,São Paulo, 490.000,2023-03-28
Rua José da Costa de Andrade,Jardim Santa Terezinha, 200.000,2023-03-28
Rua dos Junquilhos,Vila Prudente, 425.000,2023-03-28
Rua dos Cafezais,Jardim Prudência, 750.000,2023-03-28
Brás,São Paulo, 298.000,2023-03-28
Rua João Scatamacchia,Campo Grande, 301.900,2023-03-28
Rua Demerval da Fonseca,Jardim Santa Terezinha, 280.000,2023-03-28
Guaianases,São Paulo, 150.000,2023-03-28
Rua Doutor Joaquim Gomes de Souza,Jardim Bonfiglioli, 775.000,2023-03-28
Rua Piratininga,Brás, 340.000,2023-03-28
Avenida São Paulo Paraná,Vila Pirajussara, 750.000,2023-03-28
Cidade Líder,São Paulo, 220.000,2023-03-28
Rua Marie Nader Calfat,Jardim Ampliação, 320.000,2023-03-28
Vila Carrão,São Paulo, 322.500,2023-03-28
Rua Mororó,Chácara Santo Antônio Zona Leste, 490.000,2023-03-28
Avenida Boschetti,Vila Medeiros, 320.000,2023-03-28
Rua Capistrano de Abreu,Barra Funda, 629.000,2023-03-28
Vila Aricanduva,São Paulo, 499.000,2023-03-28
Cidade Líder,São Paulo, 590.000,2023-03-28
Jardim Ipanema,São Paulo, 450.000,2023-03-28
Rua Diabase,Parque Monteiro Soares, 1.080.000,2023-03-28
Rua Francisco Marengo,Vila Gomes Cardim, 690.000,2023-03-28
Rua José Esteves,Vila Dona Sara, 500.000,2023-03-28
Rua Capricho,Vila Nivi, 560.000,2023-03-28
Rua José Carlos de Toledo Piza,Jardim Parque Morumbi, 459.000,2023-03-28
Aricanduva,São Paulo, 360.000,2023-03-28
Rua Salto Grande,Sumaré, 859.000,2023-03-28
Conjunto Habitacional Padre Manoel de Paiva,São Paulo, 215.000,2023-03-28
Rua Claudino Pinto,Brás, 236.000,2023-03-28
Sapopemba,São Paulo, 535.000,2023-03-28
Rua Hipódromo,Brás, 485.000,2023-03-28
Avenida Onze de Junho,Vila Clementino, 670.000,2023-03-28
Rua João Leite Jachinovski,Parque São Paulo, 350.000,2023-03-28
Rua Comendador Miguel Calfat,Vila Nova Conceição, 275.000,2023-03-28
Rua Desembargador Rodrigues Sette,Jardim Peri, 239.900,2023-03-28
Rua Conde Luiz Eduardo Matarazzo,Vila Sao Silvestre, 300.000,2023-03-28
Cidade Mae Do Ceu,São Paulo, 750.000,2023-03-28
Rua Nilo Torres,Jardim Umuarama, 884.000,2023-03-28
Vila Gomes Cardim,São Paulo, 438.000,2023-03-28
Rua Rui de Morais Apocalipse,Jardim Do Tiro, 260.000,2023-03-28
Rua Andréa Paulinetti,Jardim das Acacias, 922.000,2023-03-28
Rua Maniçoba,Jardim Umarizal, 259.000,2023-03-28
Rua Luciano Silva,Vila das Belezas, 357.000,2023-03-28
Jardim Carlu,São Paulo, 300.002,2023-03-28
Guaianases,São Paulo, 200.000,2023-03-28
Rua Doutor Paulo Queiroz,Jardim Nove de Julho, 220.000,2023-03-28
Rua Capistrano de Abreu,Barra Funda, 515.000,2023-03-28
Rua Jaboticabal,Móoca, 480.000,2023-03-28
Rua Antônio Cinati,Cidade Tiradentes, 138.001,2023-03-28
Jardim Pinheiros,São Paulo, 320.000,2023-03-28
Rua João Rodrigues Pires,Vila Carmem, 340.000,2023-03-28
Rua Visconde de Parnaíba,Brás, 350.000,2023-03-28
Rua Bactória,Jardim Vila Formosa, 269.000,2023-03-28
Rua Campante,Vila Independência, 490.000,2023-03-28
Cidade Líder,São Paulo, 479.000,2023-03-28
Rua Céu Tropical,Conjunto Residencial Jardim Canaã, 480.000,2023-03-28
Avenida Alexios Jafet,Vila Aurora, 288.030,2023-03-28
Rua Rui de Morais Apocalipse,Jardim Do Tiro, 290.000,2023-03-28
Rua Antônio Neto Caldeira,Vila Antonieta, 299.000,2023-03-28
Sapopemba,São Paulo, 480.000,2023-03-28
Vila Alpina,São Paulo, 265.000,2023-03-28
Rua Ibitirama,Vila Prudente, 470.000,2023-03-28
Rua dos Têxteis,Chácara Santa Etelvina, 133.000,2023-03-28
Rua Felício Pereira,Jardim Piqueroby, 655.000,2023-03-28
Vila Olímpia,São Paulo, 2.149.000,2023-03-28
Rua José Líbero,Planalto Paulista, 282.912,2023-03-28
Rua Artur Prado,Bela Vista, 750.000,2023-03-28
Rua Coronel Francisco Inácio,Vila Moinho Velho, 500.000,2023-03-28
Rua São Caetano do Sul,Conjunto Habitacional Brigadeiro Faria Lima, 160.000,2023-03-28
Rua Lourenço Franco do Prado,Jardim Nélia, 165.000,2023-03-28
Rua Coronel Camisão,Butantã, 670.000,2023-03-28
Avenida Arquiteto Vilanova Artigas,Conjunto Habitacional Teotonio Vilela, 187.100,2023-03-28
Itaquera,São Paulo, 239.000,2023-03-28
Rua Francisco Vasconcelos,Chácara Santo Antônio, 1.378.000,2023-03-28
Água Branca,São Paulo, 480.000,2023-03-28
Vila Moraes,São Paulo, 350.000,2023-03-28
Chácara Inglesa,São Paulo, 883.000,2023-03-28
Rua Serra Redonda,Jardim Guairaca, 327.600,2023-03-28
