street,district,price,date
Avenida Nove de Julho,Jardim Paulista, 5.748.258,2023-03-28
Avenida Nove de Julho,Jardim Paulista, 5.809.795,2023-03-28
Avenida Nove de Julho,Jardim Paulista, 6.037.583,2023-03-28
Rua Chamantá,Móoca, 1.080.000,2023-03-28
Parque São Lucas,São Paulo, 660.000,2023-03-28
Rua Barão do Triunfo,Brooklin, 2.700.000,2023-03-28
Rua Abagiba,Saúde, 300.000,2023-03-28
Rua José Papaterra Limongi,Jardim Pereira Leite, 489.000,2023-03-28
Rua Cinco,Residencial Vilela, 350.000,2023-03-28
Rua Carlos Alberto Vanzolini,Vila Dos Remedios, 470.000,2023-03-28
Rua Laert de Almeida Viana,Vila Nova Mazzei, 590.000,2023-03-28
Rua Cabo José da Silva,Parque Novo Mundo, 420.000,2023-03-28
Avenida Álvaro Ramos,Móoca, 510.000,2023-03-28
Americanópolis,São Paulo, 399.000,2023-03-28
Rua Adelino Ricciardi,City America, 300.000,2023-03-28
Avenida Adelino Jorge Montenegro,Parque Penha, 300.000,2023-03-28
Rua José Gervásio Artigas,Vila Moraes, 540.000,2023-03-28
Rua André de Almeida,São Mateus, 450.000,2023-03-28
Rua Porto das Dunas,Jardim Cruz do Corisco, 360.000,2023-03-28
Rua Joaquim Morais,Jabaquara, 400.000,2023-03-28
Avenida Nossa Senhora do Sabará,Jardim Marajoara, 590.000,2023-03-28
Avenida Mofarrej,Vila Leopoldina, 680.000,2023-03-28
Avenida Maria Santana,Jardim Casa Pintada, 220.000,2023-03-28
Avenida Professor Celestino Bourroul,Limão, 550.000,2023-03-28
Rua João Teixeira da Silva,Vila Invernada, 659.000,2023-03-28
Rua Majorie,Artur Alvim, 280.000,2023-03-28
Rua Epaminondas Melo do Amaral,Sítio do Mandaqui, 579.000,2023-03-28
Rua Colônia D'Assunção,Jardim das Oliveiras, 350.000,2023-03-28
Sacomã,São Paulo, 440.000,2023-03-28
Rua Wilson Vallim,Vila São Paulo, 470.000,2023-03-28
Rua Mafalda,Vila Formosa, 450.000,2023-03-28
Avenida Engenheiro Heitor Antônio Eiras Garcia,Butantã, 260.000,2023-03-28
Consolação,São Paulo, 1.450.000,2023-03-28
Avenida dos Ourives,Jardim São Savério, 251.000,2023-03-28
Rua Sousa Breves,Vila Zilda Tatuape, 730.000,2023-03-28
Rua Vicente Decara Neto,Jardim São Luís, 300.000,2023-03-28
Rua Vergueiro,Vila Vera, 400.000,2023-03-28
Rua Fortunato Ferraz,Vila Anastácio, 612.000,2023-03-28
Avenida Ernesto Igel,Vila Leopoldina, 700.000,2023-03-28
Rua Francisco Corazza,Lapa, 455.000,2023-03-28
Avenida José Joaquim Seabra,Jardim Ivana, 317.999,2023-03-28
Rua Monsenhor João Felipo,Móoca, 380.000,2023-03-28
Rua Doutor Luiz Migliano,Jardim Caboré, 290.000,2023-03-28
Rua Iguará,Vila Alpina, 235.000,2023-03-28
Rua Mesquita,Vila Mariana, 619.500,2023-03-28
Rua Falchi Gianini,Vila Prudente, 600.000,2023-03-28
Rua São João Del Rei,Jardim da Glória, 385.000,2023-03-28
Rua José Arzão,Vila Praia, 472.000,2023-03-28
Cidade Líder,São Paulo, 480.000,2023-03-28
Rua Roberto de Almeida,Parque Do Carmo, 505.400,2023-03-28
Rua Franco Moreira,Vila Barbosa, 730.000,2023-03-28
Rua Adolfo Reile,Jardim Celeste, 435.000,2023-03-28
Vila Emir,São Paulo, 310.000,2023-03-28
Rua Haddock Lobo,Cerqueira César, 1.250.000,2023-03-28
Avenida Pompéia,Pompeia, 635.000,2023-03-28
Rua Gomes de Amorim,Jardim Miriam, 487.600,2023-03-28
Rua do Rocio,Itaim Bibi, 650.000,2023-03-28
Rua Professora Abigail Alves Pires,Jardim Sarah, 471.000,2023-03-28
Lapa,São Paulo, 680.000,2023-03-28
Rua Bento Branco de Andrade Filho,Chácara Santo Antônio, 994.990,2023-03-28
Rua Guian,Vila Campestre, 310.000,2023-03-28
Rua Theófilo Azambuja,Jaragua, 250.000,2023-03-28
Rua Sales Júnior,Alto da Lapa, 1.350.000,2023-03-28
Rua Marquês de Valença,Móoca, 750.000,2023-03-28
Rua São José da Barra,Vila Leopoldina, 1.690.000,2023-03-28
Rua Moisés Marx,Vila Aricanduva, 780.000,2023-03-28
Rua Inácio Mammana,Mandaqui, 420.000,2023-03-28
Rua Doutor Miranda de Azevedo,Pompeia, 1.249.980,2023-03-28
Rua Belchior Barreiros,Vila Aurora, 450.000,2023-03-28
Avenida Joaquina Ramalho,Vila Guilherme, 389.900,2023-03-28
Rua Agrimensor Sugaya,Colonia - Zona Leste, 289.000,2023-03-28
Avenida Dedo de Deus,Vila Formosa, 375.000,2023-03-28
Avenida Itaboraí,Saúde, 1.450.000,2023-03-28
Rua Vigário Albernaz,Vila Gumercindo, 405.000,2023-03-28
Rua Alexandre Éder,Jardim Aparecida, 233.000,2023-03-28
Rua Nebraska,Brooklin, 998.000,2023-03-28
Rua Deputado Laércio Corte,Paraíso do Morumbi, 378.000,2023-03-28
Rua José Manso,Vila Matilde, 255.000,2023-03-28
Rua dos Chanes,Indianópolis, 1.125.000,2023-03-28
Avenida Otacílio Tomanik,Vila Polopoli, 646.600,2023-03-28
Rua Joaquim Nunes Teixeira,Vila Plana, 255.000,2023-03-28
Rua Serra do Pilar,Jardim Macedônia, 230.000,2023-03-28
Rua Antônio Fontes,Vila Formosa, 279.000,2023-03-28
Rua Demerval da Fonseca,Aricanduva, 250.000,2023-03-28
Rua Alegria,Brás, 485.000,2023-03-28
Avenida Joaquina Ramalho,Vila Guilherme, 420.000,2023-03-28
Rua João Batista Calógeras,Limoeiro, 170.000,2023-03-28
Rua Clemente Pereira,Ipiranga, 850.000,2023-03-28
Rua Jaguarete,Casa Verde, 550.000,2023-03-28
Tatuapé,São Paulo, 529.520,2023-03-28
Rua Cônego José Marinho,Vila Lageado, 310.000,2023-03-28
Rua Marcos Fernandes,Jardim da Saude, 530.000,2023-03-28
Rua Getúlio Soares da Rocha,Brooklin, 1.840.000,2023-03-28
Rua Horácio Vergueiro Rudge,Casa Verde, 1.540.000,2023-03-28
Rua Doutor Raul da Rocha Medeiros,Tatuapé, 572.860,2023-03-28
Rua Tapari,Penha, 250.000,2023-03-28
Rua Apiacás,Perdizes, 2.700.000,2023-03-28
Rua Manoel Cruz,Vila Ernesto, 230.000,2023-03-28
Avenida Doutor Francisco Mesquita,Jardim Ibitirama, 314.000,2023-03-28
Avenida Guarapiranga,Jardim das Flores, 340.000,2023-03-28
