address,price,date
"Avenida Nove de Julho, Jardim Paulista",R$ 5.748.258,2023-03-28
"Avenida Nove de Julho, Jardim Paulista",R$ 5.809.795,2023-03-28
"Avenida Nove de Julho, Jardim Paulista",R$ 6.037.583,2023-03-28
"Rua Chamantá, Móoca",R$ 1.080.000,2023-03-28
"Parque São Lucas, São Paulo",R$ 660.000,2023-03-28
"Rua Barão do Triunfo, Brooklin",R$ 2.700.000,2023-03-28
"Rua Abagiba, Saúde",R$ 300.000,2023-03-28
"Rua José Papaterra Limongi, Jardim Pereira Leite",R$ 489.000,2023-03-28
"Rua Cinco, Residencial Vilela",R$ 350.000,2023-03-28
"Rua Carlos Alberto Vanzolini, Vila Dos Remedios",R$ 470.000,2023-03-28
"Rua Laert de Almeida Viana, Vila Nova Mazzei",R$ 590.000,2023-03-28
"Rua Cabo José da Silva, Parque Novo Mundo",R$ 420.000,2023-03-28
"Avenida Álvaro Ramos, Móoca",R$ 510.000,2023-03-28
"Americanópolis, São Paulo",R$ 399.000,2023-03-28
"Rua Adelino Ricciardi, City America",R$ 300.000,2023-03-28
"Avenida Adelino Jorge Montenegro, Parque Penha",R$ 300.000,2023-03-28
"Rua José Gervásio Artigas, Vila Moraes",R$ 540.000,2023-03-28
"Rua André de Almeida, São Mateus",R$ 450.000,2023-03-28
"Rua Porto das Dunas, Jardim Cruz do Corisco",R$ 360.000,2023-03-28
"Rua Joaquim Morais, Jabaquara",R$ 400.000,2023-03-28
"Avenida Nossa Senhora do Sabará, Jardim Marajoara",R$ 590.000,2023-03-28
"Avenida Mofarrej, Vila Leopoldina",R$ 680.000,2023-03-28
"Avenida Maria Santana, Jardim Casa Pintada",R$ 220.000,2023-03-28
"Avenida Professor Celestino Bourroul, Limão",R$ 550.000,2023-03-28
"Rua João Teixeira da Silva, Vila Invernada",R$ 659.000,2023-03-28
"Rua Majorie, Artur Alvim",R$ 280.000,2023-03-28
"Rua Epaminondas Melo do Amaral, Sítio do Mandaqui",R$ 579.000,2023-03-28
"Rua Colônia D'Assunção, Jardim das Oliveiras",R$ 350.000,2023-03-28
